# Auto-generated category rules from MobileSentrix categories
# Format: keyword|Categoria WooCommerce (hierarhie cu '>')

edge-30-neo-xt2245-1-2022|Piese de schimb > Motorola
moto-g50-5g-xt2149-1-2021|Piese de schimb > Motorola
samsung-galaxy-s23-fe-5g|Accesorii > Alte accesorii
samsung-galaxy-s22-ultra|Accesorii > Alte accesorii
pro-retina-13-a1708-2016|Accesorii > Alte accesorii
face-plates-and-covers-1|Accesorii > Huse
pixel-tablet-gtu8p-2023|Piese de schimb > Google
power-cords-and-cables|Accesorii > Cabluri si Adaptori
glass-separation-tools|Accesorii > Folii protectie
casper-tempered-glass|Accesorii > Folii protectie
google-pixel-3-xl-6-3|Piese de schimb > Google
samsung-note-10-plus|Alte piese
pixelbook-4k-version|Piese de schimb > Google
battery-programmers|Accesorii > Baterii externe
cables-and-chargers|Accesorii > Incarcatoare
asus-google-nexus-7|Piese de schimb > Google
google-pixelbook-go|Piese de schimb > Google
clamps-and-holders|Accesorii > Suport telefon
google-pixel-5a-5g|Piese de schimb > Google
google-pixel-3-5-5|Piese de schimb > Google
google-pixel-4a-5g|Piese de schimb > Google
google-pixel-3a-xl|Piese de schimb > Google
alcohol-dispensers|Unelte si consumabile
thunderbolt-cable|Accesorii > Cabluri si Adaptori
screen-protectors|Accesorii > Folii protectie
back-cover-repair|Accesorii > Huse
external-chargers|Accesorii > Incarcatoare
google-pixel-2-xl|Piese de schimb > Google
google-pixel-4-xl|Piese de schimb > Google
cleaning-supplies|Unelte si consumabile
disassembly-tools|Unelte si consumabile
pre-cut-adhesives|Unelte si consumabile
macbook-chargers|Accesorii > Huse
clicker-switches|Console jocuri > Nintendo Switch
pixel-9-pro-fold|Piese de schimb > Google
pcb-camera-tools|Unelte si consumabile
lamination-tools|Unelte si consumabile
battery-testers|Accesorii > Baterii externe
casper-original|Accesorii > Folii protectie
pixel-10-pro-xl|Piese de schimb > Google
google-pixel-3a|Piese de schimb > Google
google-pixel-4a|Piese de schimb > Google
watch-chargers|Accesorii > Incarcatoare
screen-holders|Accesorii > Suport telefon
clamps-holders|Accesorii > Suport telefon
pixel-9-pro-xl|Piese de schimb > Google
google-pixel-2|Piese de schimb > Google
google-pixel-5|Piese de schimb > Google
google-pixel-4|Piese de schimb > Google
recently-added|Unelte si consumabile
power-adapter|Accesorii > Cabluri si Adaptori
wall-adapters|Accesorii > Cabluri si Adaptori
parts-storage|Accesorii > Carduri si Memorii USB
storage-boxes|Accesorii > Carduri si Memorii USB
glass-removal|Accesorii > Folii protectie
macbook-skins|Accesorii > Huse
series-3-45mm|Piese de schimb > Google
glue-cleaning|Unelte si consumabile
adhesive-tape|Unelte si consumabile
cable-tester|Accesorii > Cabluri si Adaptori
glass-frames|Accesorii > Folii protectie
pro-silicone|Accesorii > Huse
tool-holders|Accesorii > Suport telefon
flex-cables|Accesorii > Cabluri si Adaptori
accessories|Accesorii > Cabluri si Adaptori
sim-testers|Accesorii > Carduri si Memorii USB
usb-type-c|Accesorii > Cabluri si Adaptori
headphones|Accesorii > Casti Audio
lightning|Accesorii > Cabluri si Adaptori
micro-usb|Accesorii > Cabluri si Adaptori
pry-tools|Unelte si consumabile
tool-kits|Unelte si consumabile
adhesives|Unelte si consumabile
adapters|Accesorii > Cabluri si Adaptori
silicone|Accesorii > Huse
pro-edge|Accesorii > Huse
nintendo|Console jocuri > Nintendo Switch
cables|Accesorii > Cabluri si Adaptori
gapp|Alte piese
pro|Accesorii > Cabluri si Adaptori
